               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
0,0.095326,0.033376,0.041323,0.75294,0.015217,0.0019019,0.00033174,0.088682,0.0211,0.037797,0.0033224,0.0033224,0.070098
1,0.087361,0.030134,0.03664,0.51208,0.091441,0.0031954,0.00056094,0.086528,0.018376,0.035669,0.0066338,0.0066338,0.040076
2,0.083888,0.02943,0.034282,0.27113,0.048816,0.0077822,0.0015349,0.085518,0.019095,0.035211,0.0099231,0.0099231,0.010032
3,0.080943,0.029393,0.032113,0.069664,0.11462,0.013447,0.0025433,0.082058,0.018331,0.031395,0.009901,0.009901,0.009901
4,0.077923,0.02888,0.029966,0.076955,0.10938,0.031056,0.0064305,0.077498,0.018244,0.025989,0.009901,0.009901,0.009901
5,0.075437,0.028792,0.027649,0.090079,0.17446,0.049661,0.010713,0.074035,0.018544,0.024921,0.009868,0.009868,0.009868
6,0.072846,0.028161,0.025921,0.1437,0.18284,0.082787,0.019196,0.071362,0.017994,0.022856,0.009835,0.009835,0.009835
7,0.07066,0.028458,0.024552,0.17588,0.17294,0.094545,0.023456,0.068558,0.017893,0.020767,0.009802,0.009802,0.009802
8,0.069269,0.027948,0.023351,0.17584,0.22776,0.11769,0.03018,0.067801,0.017486,0.02157,0.009769,0.009769,0.009769
9,0.068057,0.027885,0.022402,0.20454,0.20727,0.12079,0.031784,0.06697,0.017553,0.020846,0.009736,0.009736,0.009736
10,0.067277,0.027616,0.021702,0.21157,0.25374,0.14362,0.039579,0.065258,0.017992,0.019169,0.009703,0.009703,0.009703
11,0.066307,0.027294,0.021247,0.1745,0.29339,0.14487,0.038956,0.064396,0.017402,0.018751,0.00967,0.00967,0.00967
12,0.065348,0.027299,0.020684,0.24769,0.29597,0.18174,0.049939,0.062948,0.017333,0.017778,0.009637,0.009637,0.009637
13,0.064772,0.027425,0.020285,0.26779,0.29854,0.19606,0.055491,0.061565,0.017384,0.016587,0.009604,0.009604,0.009604
14,0.064238,0.027312,0.019738,0.26862,0.29438,0.203,0.057354,0.061472,0.017058,0.016585,0.009571,0.009571,0.009571
15,0.063626,0.026895,0.019495,0.37953,0.25183,0.20476,0.058617,0.060432,0.016933,0.016782,0.009538,0.009538,0.009538
16,0.06305,0.027257,0.019236,0.24643,0.3204,0.21282,0.062606,0.060389,0.016985,0.016012,0.009505,0.009505,0.009505
17,0.062536,0.026842,0.018747,0.29344,0.30553,0.21784,0.065785,0.060387,0.016943,0.016283,0.009472,0.009472,0.009472
18,0.0618,0.026649,0.018406,0.33303,0.27178,0.22319,0.069458,0.059148,0.017013,0.015722,0.009439,0.009439,0.009439
19,0.061474,0.026808,0.017981,0.34199,0.3316,0.26401,0.082988,0.059877,0.016648,0.014748,0.009406,0.009406,0.009406
