               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
0,0.078639,0.0023586,0.0056049,0.57958,0.045417,0.042196,0.011855,0.061589,0.0015634,0.0042524,0.003327,0.003327,0.070057
1,0.062058,0.0024352,0.0040533,0.16292,0.13828,0.072317,0.022684,0.061102,0.0013956,0.0033538,0.0066384,0.0066384,0.040035
2,0.061128,0.0022752,0.0033818,0.16627,0.17404,0.084781,0.027658,0.062989,0.0013687,0.0031805,0.0099277,0.0099277,0.0099911
3,0.06071,0.0021743,0.0031841,0.21268,0.24624,0.13993,0.047977,0.057723,0.0012726,0.0026683,0.009901,0.009901,0.009901
4,0.059072,0.0021264,0.0029261,0.26256,0.23581,0.1543,0.055019,0.057022,0.0012403,0.0024399,0.009901,0.009901,0.009901
5,0.057781,0.0021174,0.0028098,0.26633,0.2527,0.1689,0.056839,0.056932,0.0012462,0.0023987,0.009868,0.009868,0.009868
6,0.05684,0.0020882,0.0027238,0.21911,0.27037,0.16979,0.059542,0.05536,0.0012674,0.0023091,0.009835,0.009835,0.009835
7,0.05627,0.0020645,0.0026355,0.34652,0.25249,0.17942,0.063213,0.055203,0.0012665,0.0022707,0.009802,0.009802,0.009802
8,0.055855,0.0020794,0.0025568,0.33957,0.28013,0.21024,0.074142,0.054035,0.0012111,0.0020687,0.009769,0.009769,0.009769
9,0.055189,0.0020688,0.002516,0.30361,0.27231,0.19807,0.070773,0.054107,0.0012397,0.002207,0.009736,0.009736,0.009736
10,0.054695,0.0020746,0.0024619,0.31618,0.32662,0.23435,0.086135,0.052831,0.0012236,0.0021107,0.009703,0.009703,0.009703
11,0.054214,0.0020885,0.0023956,0.34682,0.26994,0.21075,0.078243,0.053959,0.0012167,0.0021685,0.00967,0.00967,0.00967
12,0.054008,0.0020652,0.0024002,0.39594,0.30385,0.25507,0.096057,0.051955,0.0012044,0.0020282,0.009637,0.009637,0.009637
13,0.05387,0.002026,0.0023932,0.43009,0.30895,0.27293,0.10378,0.052215,0.0011842,0.0019294,0.009604,0.009604,0.009604
14,0.053518,0.0020368,0.0023478,0.36176,0.30798,0.23471,0.089591,0.052372,0.0012009,0.0019311,0.009571,0.009571,0.009571
15,0.053325,0.0020358,0.002331,0.36365,0.30858,0.24446,0.092499,0.051551,0.0012522,0.0019683,0.009538,0.009538,0.009538
16,0.053272,0.0020462,0.0023202,0.34271,0.3968,0.30582,0.11973,0.051052,0.0011963,0.0018519,0.009505,0.009505,0.009505
17,0.052752,0.0020425,0.0022856,0.35667,0.44685,0.35403,0.13938,0.050688,0.0011793,0.0018345,0.009472,0.009472,0.009472
18,0.052711,0.0020114,0.0022877,0.42139,0.36091,0.32926,0.12352,0.050734,0.001184,0.0019124,0.009439,0.009439,0.009439
19,0.052456,0.0020211,0.0022508,0.37285,0.37066,0.3055,0.11743,0.050625,0.0011696,0.0018665,0.009406,0.009406,0.009406
20,0.052276,0.0019968,0.0022635,0.39278,0.39725,0.32448,0.1241,0.05008,0.0011683,0.0017952,0.009373,0.009373,0.009373
21,0.052014,0.0020195,0.0022165,0.4207,0.38633,0.33632,0.13066,0.050045,0.0011646,0.0017669,0.00934,0.00934,0.00934
22,0.051657,0.0020305,0.0021535,0.41938,0.3855,0.33551,0.13214,0.049979,0.0011674,0.0017333,0.009307,0.009307,0.009307
23,0.051381,0.0020311,0.0021861,0.41461,0.3918,0.33392,0.13321,0.049279,0.00116,0.0017435,0.009274,0.009274,0.009274
24,0.051335,0.0020056,0.0021608,0.39568,0.40403,0.33787,0.13184,0.049331,0.0011711,0.0017563,0.009241,0.009241,0.009241
25,0.051443,0.0020286,0.002161,0.44662,0.41463,0.37131,0.1492,0.04904,0.0011613,0.0017393,0.009208,0.009208,0.009208
26,0.05116,0.0020287,0.0021328,0.46832,0.40651,0.384,0.15173,0.049173,0.0011515,0.0017266,0.009175,0.009175,0.009175
27,0.05096,0.0020211,0.002153,0.42144,0.45936,0.39225,0.15864,0.048704,0.0011508,0.0016945,0.009142,0.009142,0.009142
28,0.051014,0.002002,0.0021112,0.46889,0.43747,0.41066,0.16299,0.04882,0.0011458,0.0016872,0.009109,0.009109,0.009109
29,0.050944,0.0020125,0.0021225,0.45399,0.45148,0.41429,0.16613,0.048865,0.0011471,0.0016897,0.009076,0.009076,0.009076
30,0.050765,0.0020371,0.0021078,0.44686,0.39877,0.36181,0.14843,0.048563,0.0011512,0.0016472,0.009043,0.009043,0.009043
31,0.050713,0.0019982,0.002091,0.42986,0.46213,0.40777,0.1663,0.048482,0.0011499,0.0016598,0.00901,0.00901,0.00901
32,0.050608,0.0020318,0.0020768,0.46406,0.44274,0.41691,0.16703,0.048725,0.0011451,0.0016452,0.008977,0.008977,0.008977
33,0.050267,0.0020257,0.0020875,0.48169,0.46598,0.43824,0.17367,0.048427,0.0011412,0.0016486,0.008944,0.008944,0.008944
34,0.050482,0.0020247,0.0020944,0.47882,0.46195,0.43602,0.1778,0.04806,0.0011427,0.0016141,0.008911,0.008911,0.008911
35,0.050193,0.0020034,0.0020713,0.46852,0.48733,0.44475,0.18049,0.048015,0.0011395,0.0016007,0.008878,0.008878,0.008878
36,0.050104,0.0020243,0.0020722,0.46882,0.47921,0.44647,0.18359,0.047822,0.0011409,0.0016412,0.008845,0.008845,0.008845
37,0.050201,0.0020285,0.0020785,0.52708,0.44028,0.44837,0.18325,0.047705,0.0011395,0.0016313,0.008812,0.008812,0.008812
38,0.049718,0.0020212,0.0020027,0.47913,0.48351,0.44837,0.18323,0.047413,0.0011393,0.0015762,0.008779,0.008779,0.008779
39,0.050058,0.0019892,0.0020327,0.4938,0.46463,0.45007,0.18571,0.047278,0.0011382,0.0015922,0.008746,0.008746,0.008746
40,0.049659,0.0020395,0.0019725,0.4853,0.48117,0.45368,0.18496,0.047318,0.0011392,0.0015873,0.008713,0.008713,0.008713
41,0.049507,0.001999,0.0020641,0.50753,0.47214,0.46137,0.18835,0.04731,0.0011372,0.0016029,0.00868,0.00868,0.00868
42,0.049476,0.0020244,0.0020309,0.47032,0.49017,0.45487,0.18786,0.047198,0.0011367,0.0015917,0.008647,0.008647,0.008647
43,0.049548,0.0019991,0.0020072,0.46791,0.49637,0.45842,0.1899,0.047172,0.0011358,0.0015844,0.008614,0.008614,0.008614
44,0.04932,0.0019988,0.0019954,0.49688,0.47778,0.45924,0.19271,0.047033,0.0011363,0.0015541,0.008581,0.008581,0.008581
45,0.049501,0.0019922,0.0019869,0.50083,0.47216,0.46045,0.19338,0.047081,0.0011355,0.0015618,0.008548,0.008548,0.008548
46,0.049341,0.0019995,0.0020276,0.50362,0.47665,0.4631,0.19435,0.047003,0.0011334,0.0015631,0.008515,0.008515,0.008515
47,0.049235,0.0020185,0.001956,0.51565,0.46968,0.46352,0.19474,0.046964,0.0011314,0.0015557,0.008482,0.008482,0.008482
48,0.049234,0.002001,0.0019372,0.49637,0.48817,0.4636,0.19432,0.0469,0.0011345,0.0015374,0.008449,0.008449,0.008449
49,0.048828,0.002028,0.0019977,0.51102,0.47828,0.46583,0.1952,0.046794,0.0011339,0.0015268,0.008416,0.008416,0.008416
50,0.049029,0.0019791,0.001991,0.50677,0.47724,0.46411,0.19553,0.046774,0.0011332,0.0015254,0.008383,0.008383,0.008383
51,0.048756,0.0020064,0.0019077,0.49305,0.48972,0.4654,0.19581,0.046754,0.0011324,0.0015217,0.00835,0.00835,0.00835
52,0.048652,0.0020127,0.0019493,0.48725,0.49024,0.46589,0.19699,0.046714,0.0011323,0.00152,0.008317,0.008317,0.008317
53,0.048714,0.0019994,0.0019318,0.48073,0.49309,0.466,0.19682,0.046668,0.0011321,0.0015185,0.008284,0.008284,0.008284
54,0.048541,0.001977,0.0019117,0.46395,0.51368,0.46798,0.19823,0.046641,0.0011307,0.0015159,0.008251,0.008251,0.008251
55,0.048492,0.001998,0.0019312,0.50484,0.48384,0.46987,0.19834,0.046633,0.0011294,0.0015187,0.008218,0.008218,0.008218
56,0.048358,0.0019819,0.0019262,0.49142,0.49777,0.47208,0.19832,0.046591,0.0011285,0.0015191,0.008185,0.008185,0.008185
57,0.048378,0.0020242,0.001905,0.54626,0.45846,0.47224,0.19859,0.046592,0.0011286,0.0015222,0.008152,0.008152,0.008152
58,0.048281,0.0020067,0.0019185,0.52506,0.4751,0.47208,0.19919,0.046604,0.0011285,0.001521,0.008119,0.008119,0.008119
59,0.048449,0.0019867,0.0019388,0.50532,0.49018,0.47254,0.1993,0.046608,0.0011281,0.0015199,0.008086,0.008086,0.008086
